,N,Method,$\hat{\mathbb{P}}$
0,10.0,SAO-ScenarioApproxWithO,0.82671
1,60.0,SAO-ScenarioApproxWithO,0.9624
2,110.0,SAO-ScenarioApproxWithO,0.9556
3,160.0,SAO-ScenarioApproxWithO,0.97123
4,210.0,SAO-ScenarioApproxWithO,0.97153
5,260.0,SAO-ScenarioApproxWithO,0.98299
6,10.0,SAO-ScenarioApproxWithO,0.83759
7,60.0,SAO-ScenarioApproxWithO,0.93432
8,110.0,SAO-ScenarioApproxWithO,0.9446
9,160.0,SAO-ScenarioApproxWithO,0.9767
10,210.0,SAO-ScenarioApproxWithO,0.9557
11,260.0,SAO-ScenarioApproxWithO,0.9877
12,10.0,SAO-ScenarioApproxWithO,0.83231
13,60.0,SAO-ScenarioApproxWithO,0.91275
14,110.0,SAO-ScenarioApproxWithO,0.96104
15,160.0,SAO-ScenarioApproxWithO,0.96247
16,210.0,SAO-ScenarioApproxWithO,0.98772
17,260.0,SAO-ScenarioApproxWithO,0.97756
18,10.0,SAO-ScenarioApproxWithO,0.87057
19,60.0,SAO-ScenarioApproxWithO,0.9195
20,110.0,SAO-ScenarioApproxWithO,0.96504
21,160.0,SAO-ScenarioApproxWithO,0.98373
22,210.0,SAO-ScenarioApproxWithO,0.9727
23,260.0,SAO-ScenarioApproxWithO,0.97384
24,10.0,SAO-ScenarioApproxWithO,0.87226
25,60.0,SAO-ScenarioApproxWithO,0.96232
26,110.0,SAO-ScenarioApproxWithO,0.92862
27,160.0,SAO-ScenarioApproxWithO,0.97255
28,210.0,SAO-ScenarioApproxWithO,0.98151
29,260.0,SAO-ScenarioApproxWithO,0.98143
30,10.0,SAO-ScenarioApproxWithO,0.89617
31,60.0,SAO-ScenarioApproxWithO,0.91289
32,110.0,SAO-ScenarioApproxWithO,0.9868
33,160.0,SAO-ScenarioApproxWithO,0.96031
34,210.0,SAO-ScenarioApproxWithO,0.98652
35,260.0,SAO-ScenarioApproxWithO,0.99171
36,10.0,SAO-ScenarioApproxWithO,0.83095
37,60.0,SAO-ScenarioApproxWithO,0.94619
38,110.0,SAO-ScenarioApproxWithO,0.94752
39,160.0,SAO-ScenarioApproxWithO,0.97196
40,210.0,SAO-ScenarioApproxWithO,0.97802
41,260.0,SAO-ScenarioApproxWithO,0.98589
42,10.0,SAO-ScenarioApproxWithO,0.83117
43,60.0,SAO-ScenarioApproxWithO,0.91585
44,110.0,SAO-ScenarioApproxWithO,0.94782
45,160.0,SAO-ScenarioApproxWithO,0.97179
46,210.0,SAO-ScenarioApproxWithO,0.9747
47,260.0,SAO-ScenarioApproxWithO,0.96863
48,10.0,SAO-ScenarioApproxWithO,0.8345
49,60.0,SAO-ScenarioApproxWithO,0.92808
50,110.0,SAO-ScenarioApproxWithO,0.9658
51,160.0,SAO-ScenarioApproxWithO,0.97957
52,210.0,SAO-ScenarioApproxWithO,0.97646
53,260.0,SAO-ScenarioApproxWithO,0.98862
54,10.0,SAO-ScenarioApproxWithO,0.84561
55,60.0,SAO-ScenarioApproxWithO,0.93925
56,110.0,SAO-ScenarioApproxWithO,0.96533
57,160.0,SAO-ScenarioApproxWithO,0.98978
58,210.0,SAO-ScenarioApproxWithO,0.98472
59,260.0,SAO-ScenarioApproxWithO,0.98967
60,10.0,SAO-ScenarioApproxWithO,0.84779
61,60.0,SAO-ScenarioApproxWithO,0.89032
62,110.0,SAO-ScenarioApproxWithO,0.9512
63,160.0,SAO-ScenarioApproxWithO,0.97465
64,210.0,SAO-ScenarioApproxWithO,0.96646
65,260.0,SAO-ScenarioApproxWithO,0.97139
66,10.0,SAO-ScenarioApproxWithO,0.83409
67,60.0,SAO-ScenarioApproxWithO,0.93749
68,110.0,SAO-ScenarioApproxWithO,0.94731
69,160.0,SAO-ScenarioApproxWithO,0.98074
70,210.0,SAO-ScenarioApproxWithO,0.97072
71,260.0,SAO-ScenarioApproxWithO,0.96782
72,10.0,SAO-ScenarioApproxWithO,0.85902
73,60.0,SAO-ScenarioApproxWithO,0.94089
74,110.0,SAO-ScenarioApproxWithO,0.94966
75,160.0,SAO-ScenarioApproxWithO,0.97532
76,210.0,SAO-ScenarioApproxWithO,0.9817
77,260.0,SAO-ScenarioApproxWithO,0.9879
78,10.0,SAO-ScenarioApproxWithO,0.85412
79,60.0,SAO-ScenarioApproxWithO,0.91657
80,110.0,SAO-ScenarioApproxWithO,0.96649
81,160.0,SAO-ScenarioApproxWithO,0.97656
82,210.0,SAO-ScenarioApproxWithO,0.97358
83,260.0,SAO-ScenarioApproxWithO,0.98126
84,10.0,SAO-ScenarioApproxWithO,0.85311
85,60.0,SAO-ScenarioApproxWithO,0.95594
86,110.0,SAO-ScenarioApproxWithO,0.94758
87,160.0,SAO-ScenarioApproxWithO,0.98009
88,210.0,SAO-ScenarioApproxWithO,0.97755
89,260.0,SAO-ScenarioApproxWithO,0.98472
90,10.0,SAO-ScenarioApproxWithO,0.85192
91,60.0,SAO-ScenarioApproxWithO,0.9484
92,110.0,SAO-ScenarioApproxWithO,0.97968
93,160.0,SAO-ScenarioApproxWithO,0.97291
94,210.0,SAO-ScenarioApproxWithO,0.97558
